Topic,Category,Department,Question,URLname,Answer,Service Type ID,Title,Summary,Visible to Customer,Visible in public Knowledge Base,Visible to Partner
Battery/Light Bulb Disposal,Waste_Services,Solid Waste,How can I schedule a battery and light bulb pickup?,How-can-I-schedule-a-battery-and-light-bulb-pickup,"The City of Fontana only picks up oil and oil filters.

Battery and light bulb disposal as well as other eWaste information can be found in this web site: https://www.fontana.org/606/Electronic-Collection]. ",NA,How can I schedule a battery and light bulb pickup?,"The City of Fontana only picks up oil and oil filters.

Battery and light bulb disposal as well as other eWaste information can be found in this web site: https://www.fontana.org/606/Electronic-Collection]. ",TRUE,TRUE,TRUE
Bike Racks,Streets,Streets,Can I request a bike rack to be installed?,Can-I-request-a-bike-rack-to-be-installed,"Fontana may install bike racks located within Fontana city buildings, parks or landscapes, but not in private or business areas.

To request consideration of installing bike racks please click here.",STREETSBRKINSTL,Can I request a bike rack to be installed?,"Fontana may install bike racks located within Fontana city buildings, parks or landscapes, but not in private or business areas.

To request consideration of installing bike racks please click here.",TRUE,TRUE,TRUE
Bike Trails,Streets,Streets,How can I report concerns with a bike trail?,How-can-I-report-concerns-with-a-bike-trail,"The City of Fontana maintains miles of bike trails. 

Holes, cracks, and uneven asphalt in bike trails can be a concern for cyclists and others on the trail. Please report damaged bike trails, clearly describing the location of the trail damage, and providing as much detail as possible about the damage.

To report concerns with a bike trail, please submit a request [link to request].






",STREETSBWAY,How can I report concerns with a bike trail?,"The City of Fontana maintains miles of bike trails. 

Holes, cracks, and uneven asphalt in bike trails can be a concern for cyclists and others on the trail. Please report damaged bike trails, clearly describing the location of the trail damage, and providing as much detail as possible about the damage.

To report concerns with a bike trail, please submit a request [link to request].






",TRUE,TRUE,TRUE
Block streets,Streets,Engineering,Do I need a permit to block the sidewalk or street?,Do-I-need-a-permit-to-block-the-sidewalk-or-street,"A permit is required to perform work within the public right-of-way (usually a sidewalk, street, alley, or easement) or to use portions of a street for exclusive purposes, such as placing a moving pod.  

For more information, please contact the Engineering at (909) 350-6710 or select the appropriate permit here: https://www.fontana.org/3074/Permit-Applications.",NA,Do I need a permit to block the sidewalk or street?,"A permit is required to perform work within the public right-of-way (usually a sidewalk, street, alley, or easement) or to use portions of a street for exclusive purposes, such as placing a moving pod.  

For more information, please contact the Engineering at (909) 350-6710 or select the appropriate permit here: https://www.fontana.org/3074/Permit-Applications.",TRUE,TRUE,TRUE
Boards and Commissions,General,City Clerk's Office,How do I apply for a Commission?,How-do-I-apply-for-a-Commission,Please contact the City Clerk's Office at 909-350-7602 for more information on the recruitment process.,NA,How do I apply for a Commission?,Please contact the City Clerk's Office at 909-350-7602 for more information on the recruitment process.,TRUE,TRUE,TRUE
Body Cameras,Public_Safety,Police,When will an officer activate a body worn camera?,When-will-an-officer-activate-a-body-worn-camera,"
Officers are encouraged to use the cameras whenever possible. They will be required to activate them during field contacts, on radio calls and enforcement stops, and anytime they feel the camera may be useful. In addition, the cameras we chose are also utilized as digital audio recorders and still cameras which will aid in recovery of evidence and reduce the equipment issued to officers.",NA,When will an officer activate a body worn camera?,"
Officers are encouraged to use the cameras whenever possible. They will be required to activate them during field contacts, on radio calls and enforcement stops, and anytime they feel the camera may be useful. In addition, the cameras we chose are also utilized as digital audio recorders and still cameras which will aid in recovery of evidence and reduce the equipment issued to officers.",TRUE,TRUE,TRUE
Body Cameras,Public_Safety,Police,Are all Fontana Police Officers going to be wearing Body Cameras?,Are-all-Fontana-Police-Officers-going-to-be-wearing-Body-Cameras,All officers engaged in field operations will deploy a body worn camera.,NA,Are all Fontana Police Officers going to be wearing Body Cameras?,All officers engaged in field operations will deploy a body worn camera.,TRUE,TRUE,TRUE
Body Cameras,Public_Safety,Police,Will I be allowed to review the video data collected?,Will-I-be-allowed-to-review-the-video-data-collected,"No. The video captured with the body worn camera is considered an investigative record per Government Code Section 6254(f). The department will comply fully with the Public Records Act as it applies to body worn cameras, but considers all footage exempt from disclosure, except as is determined otherwise by department officials or a court of law.

Furthermore, one of the most critical issues for the public interacting with the police is privacy. People often seek police assistance when they are going through a difficult time. Juveniles, victims and arrestees have strong privacy protections, in part to mitigate the negative impact of open information. The Fontana Police Department is committed to protect the safety and privacy of all individuals who interact with the police.",NA,Will I be allowed to review the video data collected?,"No. The video captured with the body worn camera is considered an investigative record per Government Code Section 6254(f). The department will comply fully with the Public Records Act as it applies to body worn cameras, but considers all footage exempt from disclosure, except as is determined otherwise by department officials or a court of law.

Furthermore, one of the most critical issues for the public interacting with the police is privacy. People often seek police assistance when they are going through a difficult time. Juveniles, victims and arrestees have strong privacy protections, in part to mitigate the negative impact of open information. The Fontana Police Department is committed to protect the safety and privacy of all individuals who interact with the police.",TRUE,TRUE,TRUE
Body Cameras,Public_Safety,Police,How long will video be stored?,How-long-will-video-be-stored,All video will be stored for a period consistent with state law and the requirements of the organization to aid in prosecution and civil litigation.,NA,How long will video be stored?,All video will be stored for a period consistent with state law and the requirements of the organization to aid in prosecution and civil litigation.,TRUE,TRUE,TRUE
Body Cameras,Public_Safety,Police,Will I be told that I'm being recorded?,Will-I-be-told-that-I-m-being-recorded,"Officers are encouraged to tell the public when they are being recorded. However, it is not a requirement to do so.",,Will I be told that I'm being recorded?,"Officers are encouraged to tell the public when they are being recorded. However, it is not a requirement to do so.",TRUE,TRUE,TRUE
Body Cameras,Public_Safety,Police,How does the Body Worn Camera program increase accountability?,How-does-the-Body-Worn-Camera-program-increase-accountability,"The presence of a body worn camera or any recording device has proven to increase professionalism from both officers and citizens and reduce some incidents of violent public interactions.

Recordings also give staff the ability to conduct administrative reviews and audits of both individual recordings and the overall program, in accordance with our policy. Recordings may also be reviewed by staff to improve service levels, tactics, and training for our employees.",,How does the Body Worn Camera program increase accountability?,"The presence of a body worn camera or any recording device has proven to increase professionalism from both officers and citizens and reduce some incidents of violent public interactions.

Recordings also give staff the ability to conduct administrative reviews and audits of both individual recordings and the overall program, in accordance with our policy. Recordings may also be reviewed by staff to improve service levels, tactics, and training for our employees.",TRUE,TRUE,TRUE
Body Cameras,Public_Safety,Police,What if I don't want to be recorded?,What-if-I-don-t-want-to-be-recorded,"Our policy states that officers outfitted with a camera will turn it on when an interaction with a member of the public is initiated and the camera will remain on during the interaction. There are few exceptions to this, such as situations where there is a privacy concern that would make it inappropriate to record, requiring a shift in priority to the protection of privacy in certain environments.",,What if I don't want to be recorded?,"Our policy states that officers outfitted with a camera will turn it on when an interaction with a member of the public is initiated and the camera will remain on during the interaction. There are few exceptions to this, such as situations where there is a privacy concern that would make it inappropriate to record, requiring a shift in priority to the protection of privacy in certain environments.",TRUE,TRUE,TRUE
Building and Safety Information,Building_and_Planning,Building,How can I contact the Building and Safety Department?,How-can-I-contact-the-Building-and-Safety-Department,You may email your question to [building@fontana.org ] or we may be able to assist through via phone (909) 350-7640 Mon - Thurs 7 AM - 6 PM.  City Hall lobby is open Mon- Thurs 8 AM - 5 PM.,NA,How can I contact the Building and Safety Department?,You may email your question to [building@fontana.org ] or we may be able to assist through via phone (909) 350-7640 Mon - Thurs 7 AM - 6 PM.  City Hall lobby is open Mon- Thurs 8 AM - 5 PM.,TRUE,TRUE,TRUE
Building and Safety Information,Building_and_Planning,Building,What are the hours the Building & Safety counter is open?,What-are-the-hours-the-Building---Safety-counter-is-open,"The Building & Safety counter is open Monday through Thursday, 8:00 a.m. to 5:00 p.m. If your transaction will include payment, you must be signed in at our kiosk no later than 4:30pm.",NA,What are the hours the Building & Safety counter is open?,"The Building & Safety counter is open Monday through Thursday, 8:00 a.m. to 5:00 p.m. If your transaction will include payment, you must be signed in at our kiosk no later than 4:30pm.",TRUE,TRUE,TRUE
Building and Safety Information,Building_and_Planning,Building,10 Time-Saving Tips When Visiting the Building & Safety Counter,10-Time-Saving-Tips-When-Visiting-the-Building---Safety-Counter,"The Building & Safety Department expectations for ""Getting our Customers to Success"" remains a priority. While we recommend that you allow yourself additional time when you visit our permit counter, we recognize the value of your time and would like to do everything possible to reduce your wait. Below you will find some tips for reducing the amount of time it will take at the counter and minimizing repeat trips. 

1. Download your application and have it completed before you come to see us. The application and other helpful documents can be viewed and downloaded from the Building & Safety (https://www.fontana.org/136/Building-Safety) web pages. 

2. Know who you need to see. Most construction projects require the approval of the Planning Department as well as the Building & Safety Division. Exceptions include minor permits (residential plumbing, mechanical, and electrical work) and interior remodels for residential structures. 

3. Know what it is you want to build. (Is it a patio cover, gazebo, block wall, room addition, or? Is the structure new or is it replacing an existing structure? What size is it? How tall is it? Where on the property do you want to build it? What other structures exist on the property, and where are they located on the property?) 

4. Ask for help. Sometimes a project is just too big for you to handle on your own. Don't be afraid to seek help from a professional who has done this before. It can save you time, money, and a lot of headache in the long run. 

5. Make sure that you do your research. A check list entitled â€œBefore You Startâ€¦â€ will help you identify common concerns. (Checklist attached or web???) 

6. If available, bring pictures of your property in with you when you come to the counter. Pictures can help you explain your project and make sure that you receive accurate answers.

7. Bring the correct number of copies with you: 6 copies of the drawings and 2 copies of all supporting documents. Handouts that explain what documentation is needed to submit for plan check can be viewed and downloaded from the Building & Safety (https://www.fontana.org/136/Building-Safety) web pages. 

8. In addition to the plans and other supporting documentation that you submit to Building & Safety, many projects will require additional separate submittals to Fire, Landscape, and/or Engineering. (A few examples of these separate submittals are landscape plans, automatic-fire sprinkler systems, public improvement plans, etc.) 

9. Visit the counter in the morning. Afternoon wait times tend to be longer. 

10. If you are going to obtain the permit as an owner/builder you will need to bring in proof of property ownership. A copy of the Deed of Trust is recommended. If you are not a State licensed contractor and you are not the property owner, you will need to bring in an Owner Builder Verification form that has been completed and fully executed. The Owner Builder Verification form can be downloaded from the Building & Safety (https://www.fontana.org/136/Building-Safety) web pages.",NA,10 Time-Saving Tips When Visiting the Building & Safety Counter,"The Building & Safety Department expectations for ""Getting our Customers to Success"" remains a priority. While we recommend that you allow yourself additional time when you visit our permit counter, we recognize the value of your time and would like to do everything possible to reduce your wait. Below you will find some tips for reducing the amount of time it will take at the counter and minimizing repeat trips. 

1. Download your application and have it completed before you come to see us. The application and other helpful documents can be viewed and downloaded from the Building & Safety (https://www.fontana.org/136/Building-Safety) web pages. 

2. Know who you need to see. Most construction projects require the approval of the Planning Department as well as the Building & Safety Division. Exceptions include minor permits (residential plumbing, mechanical, and electrical work) and interior remodels for residential structures. 

3. Know what it is you want to build. (Is it a patio cover, gazebo, block wall, room addition, or? Is the structure new or is it replacing an existing structure? What size is it? How tall is it? Where on the property do you want to build it? What other structures exist on the property, and where are they located on the property?) 

4. Ask for help. Sometimes a project is just too big for you to handle on your own. Don't be afraid to seek help from a professional who has done this before. It can save you time, money, and a lot of headache in the long run. 

5. Make sure that you do your research. A check list entitled â€œBefore You Startâ€¦â€ will help you identify common concerns. (Checklist attached or web???) 

6. If available, bring pictures of your property in with you when you come to the counter. Pictures can help you explain your project and make sure that you receive accurate answers.

7. Bring the correct number of copies with you: 6 copies of the drawings and 2 copies of all supporting documents. Handouts that explain what documentation is needed to submit for plan check can be viewed and downloaded from the Building & Safety (https://www.fontana.org/136/Building-Safety) web pages. 

8. In addition to the plans and other supporting documentation that you submit to Building & Safety, many projects will require additional separate submittals to Fire, Landscape, and/or Engineering. (A few examples of these separate submittals are landscape plans, automatic-fire sprinkler systems, public improvement plans, etc.) 

9. Visit the counter in the morning. Afternoon wait times tend to be longer. 

10. If you are going to obtain the permit as an owner/builder you will need to bring in proof of property ownership. A copy of the Deed of Trust is recommended. If you are not a State licensed contractor and you are not the property owner, you will need to bring in an Owner Builder Verification form that has been completed and fully executed. The Owner Builder Verification form can be downloaded from the Building & Safety (https://www.fontana.org/136/Building-Safety) web pages.",TRUE,TRUE,TRUE
Building Construction,Building_and_Planning,Building,What time is building construction allowed? Can work be done on weekends?,What-time-is-building-construction-allowed-Can-work-be-done-on-weekends,"Building construction can occur during the hours of 7:00 a.m. and 6:00 p.m., Monday through Friday, and 8:00 a.m. and 5:00 p.m. on Saturday.",NA,What time is building construction allowed? Can work be done on weekends?,"Building construction can occur during the hours of 7:00 a.m. and 6:00 p.m., Monday through Friday, and 8:00 a.m. and 5:00 p.m. on Saturday.",TRUE,TRUE,TRUE
Building Inspection,Building_and_Planning,Building,How do I schedule an inspection?,How-do-I-schedule-an-inspection," Inspections are required to be scheduled 24 hours in advance.  You may schedule an inspection by using our IVR calling center at (909) 350-7693;  online through our electronic portal E-TRAKIT (link: https://etrakit.fontana.org/etrakit/); or by calling and speaking to a representative at (909) 350-7640.  We do not provide same day inspections, Friday or weekend inspections.",NA,How do I schedule an inspection?," Inspections are required to be scheduled 24 hours in advance.  You may schedule an inspection by using our IVR calling center at (909) 350-7693;  online through our electronic portal E-TRAKIT (link: https://etrakit.fontana.org/etrakit/); or by calling and speaking to a representative at (909) 350-7640.  We do not provide same day inspections, Friday or weekend inspections.",TRUE,TRUE,TRUE
Building Inspection,Building_and_Planning,Building,What time will my inspection be?,What-time-will-my-inspection-be,"Inspections are coordinated at the beginning of each day.  You may get an estimate of your inspection time by locating your permit number or address on the day of your inspection by using our inspection log here (link: https://web1.fontana.org/bpi) and see your place in line for inspection.  An AM inspection is between 8am to 12pm, a PM inspection is between 12:30pm to 5:pm.  ",NA,What time will my inspection be?,"Inspections are coordinated at the beginning of each day.  You may get an estimate of your inspection time by locating your permit number or address on the day of your inspection by using our inspection log here (link: https://web1.fontana.org/bpi/) and see your place in line for inspection.  An AM inspection is between 8am to 12pm, a PM inspection is between 12:30pm to 5:pm.  ",TRUE,TRUE,TRUE
Building Permits,Building_and_Planning,Building,When is a building permit needed?,When-is-a-building-permit-needed,"A building permit is required for projects such as new construction, additions, tenant improvements, pools, spas, signs, remodeling, and work on electrical, mechanical, and plumbing systems. Common examples include:
â€¢	New homes and buildings
â€¢	Room additions
â€¢	Enclosures and carports
â€¢	Decks and patio covers
â€¢	Garage conversions
â€¢	Retaining walls
â€¢	Window replacements
â€¢	Sewer services
â€¢	Signs
â€¢	Water heaters
â€¢	Fences
â€¢	Fireplaces and fireplace inserts
â€¢	Skylights
â€¢	Sheds
â€¢	Shower/tub enclosure replacements
â€¢	Swimming pools and spas
â€¢	Re-roofing
â€¢	Siding
Demolition
Solar Systems including battery storage
Electrical Vehicle charging systems

If you wish to obtain a building permit you may process online (https://www.fontana.org/DocumentCenter/View/34559/revised-03012021-Submittal-Req) or visit us at the public counter.

Once an application has been submitted, you can check the status online portal. You may also email the permit counter at [building@fontana.org] or call (909) 350-7640.


",NA,When is a building permit needed?,"A building permit is required for projects such as new construction, additions, tenant improvements, pools, spas, signs, remodeling, and work on electrical, mechanical, and plumbing systems. Common examples include:
â€¢	New homes and buildings
â€¢	Room additions
â€¢	Enclosures and carports
â€¢	Decks and patio covers
â€¢	Garage conversions
â€¢	Retaining walls
â€¢	Window replacements
â€¢	Sewer services
â€¢	Signs
â€¢	Water heaters
â€¢	Fences
â€¢	Fireplaces and fireplace inserts
â€¢	Skylights
â€¢	Sheds
â€¢	Shower/tub enclosure replacements
â€¢	Swimming pools and spas
â€¢	Re-roofing
â€¢	Siding
Demolition
Solar Systems including battery storage
Electrical Vehicle charging systems

If you wish to obtain a building permit you may process online (https://www.fontana.org/DocumentCenter/View/34559/revised-03012021-Submittal-Req) or visit us at the public counter.

Once an application has been submitted, you can check the status online portal. You may also email the permit counter at [building@fontana.org] or call (909) 350-7640.


",TRUE,TRUE,TRUE
Building Permits,Building_and_Planning,Building,Where can I search for current building permit information?,Where-can-I-search-for-current-building-permit-information,Current Building permit activity can be viewed via the online portal E-TRAKIT https://etrakit.fontana.org/etrakit ,NA,Where can I search for current building permit information?,Current Building permit activity can be viewed via the online portal E-TRAKIT https://etrakit.fontana.org/etrakit/ ,TRUE,TRUE,TRUE
Building Permits,Building_and_Planning,Building,Where can I search for historical building permit information?,Where-can-I-search-for-historical-building-permit-information,"You may view the documents in person by visiting the Development Services and accessing the public kiosk.

To obtain copies of historical Building permits you must be request it through the City Clerk's office.  Fill out the form to request the information. (https://www.fontana.org/737/Public-Records).

",NA,Where can I search for historical building permit information?,"You may view the documents in person by visiting the Development Services and accessing the public kiosk.

To obtain copies of historical Building permits you must be request it through the City Clerk's office.  Fill out the form to request the information. (https://www.fontana.org/737/Public-Records).

",TRUE,TRUE,TRUE
Building Permits,Building_and_Planning,Building,How do I find out the status of my Plan Check and/or Building Permit application?,How-do-I-find-out-the-status-of-my-Plan-Check-and-or-Building-Permit-application,"The status of your application can be checked by calling (909) 350-7640, by coming in to the Building & Safety counter, or by accessing the E-TRAKIT system using your PIN number (link: https://etrakit.fontana.org/etrakit/).",NA,How do I find out the status of my Plan Check and/or Building Permit application?,"The status of your application can be checked by calling (909) 350-7640, by coming in to the Building & Safety counter, or by accessing the E-TRAKIT system using your PIN number (link: https://etrakit.fontana.org/etrakit/).",TRUE,TRUE,TRUE
Building Permits,Building_and_Planning,Building,What is the fee to file for a building permit or to submit plans?,What-is-the-fee-to-file-for-a-building-permit-or-to-submit-plans,"Building permit fees depend on the specifics of the project being done. Also, depending on the project, in addition to the fees you pay to the Building & Safety Department, you may be required to pay fees to the Fire Department, Planning Department, Engineering Department.  ",NA,What is the fee to file for a building permit or to submit plans?,"Building permit fees depend on the specifics of the project being done. Also, depending on the project, in addition to the fees you pay to the Building & Safety Department, you may be required to pay fees to the Fire Department, Planning Department, Engineering Department.  ",TRUE,TRUE,TRUE
Building Permits,Building_and_Planning,Building,Where do I pay my plan check or permit fees,Where-do-I-pay-my-plan-check-or-permit-fees,"There are three ways to pay an outstanding invoice:  1) Pay in person during regular business hours; 2) Online with a debit/credit card through our online portal E-TRAKIT (link: https://etrakit.fontana.org/etrakit/); or 3) over the phone with a credit/debit card.  Please note, all credit/debit card transactions will incur a 2.5% convenience fee.   Unfortunately, we are unable to accept American Express at this time.",NA,Where do I pay my plan check or permit fees,"There are three ways to pay an outstanding invoice:  1) Pay in person during regular business hours; 2) Online with a debit/credit card through our online portal E-TRAKIT (link: https://etrakit.fontana.org/etrakit/); or 3) over the phone with a credit/debit card.  Please note, all credit/debit card transactions will incur a 2.5% convenience fee.   Unfortunately, we are unable to accept American Express at this time.",TRUE,TRUE,TRUE
